time,text,mode,size,color,user
1383.50100,哈哈哈哈哈哈哈飞飞公主太好拐了,5,25,16707842,62fa52c4
1563.42600,刘备关羽之手皆成粉状，全剧终,5,25,16777215,f1afc37a
25.22300,《西游记》过来+1,5,25,16646914,c110041e
1772.07900,这是184年，诸葛亮生于181年，才三岁,5,25,16707842,e14d1df4
1930.34100,我们无路可退！因为身后就是莫斯科！,5,25,15138834,d91698f
1541.69100,-------*---*/-,1,25,16777215,3c92e18
2529.97300,？？？？,1,25,41194,73fe2a87
1879.60600,？？？？？,1,25,41194,73fe2a87
1507.12600,哈哈哈哈哈哈,1,25,41194,73fe2a87
1381.70600,哈哈哈哈哈哈,1,25,41194,73fe2a87
1330.40600,28,1,25,41194,73fe2a87
1294.48600,哈哈哈哈哈,1,25,41194,73fe2a87
1266.46600,没落贵族,1,25,41194,73fe2a87
1228.18600,哈哈哈哈哈,1,25,41194,73fe2a87
839.72500,？？？？？？,1,25,41194,73fe2a87
769.56500,哈哈哈哈哈,1,25,41194,73fe2a87
646.84600,哈哈哈哈,1,25,41194,73fe2a87
574.59100,裤子好时尚,1,25,41194,73fe2a87
506.69100,哈哈哈哈,1,25,41194,73fe2a87
345.41100,演技,1,25,41194,73fe2a87
336.55100,可怜,1,25,41194,73fe2a87
309.93100,哈哈哈哈哈,1,25,41194,73fe2a87
219.19500,就群演这数量已经无人敌,1,25,16777215,69c5a961
775.60500,刘备：来者不善,1,25,16777215,ca289ff6
812.69000,飞哥是人工榨汁机,1,25,16777215,549a61ab
759.48100,哈哈，卖草鞋的贵族居然没生意了,1,25,16777215,549a61ab
535.95100,绿豆二哥,1,25,16777215,549a61ab
496.91300,飞哥。。,1,25,16777215,549a61ab
463.84700,发现大耳公,1,25,16777215,549a61ab
1959.35900,不诛此贼三族，则吾死不瞑目!,1,25,16777215,872e8541
1206.50200,刘备宅中对，诸葛隆中对,1,25,16707842,674d130f
1140.96500,皇叔开始了,1,25,16707842,674d130f
991.14200,绿豆：你们最好有事！,1,25,16707842,674d130f
900.58600,战士打辅助,1,25,16777215,3f39b8eb
1521.77000,俺也一样,1,25,16777215,752721c6
1732.86300,颇有家资  飞飞不简单呐,1,25,16777215,77ea449a
987.80700,顺台阶下是吧,1,25,16777215,6c15e7ff
1571.70200,遇只因什么意思,1,25,16777215,ec23163a
1813.13700,都是一些拿着锄头的老百姓啊，唉。,1,25,16777215,acef2a30
14.25900,从梁山过来,1,25,16777215,5d463d4c
198.37000,初中牲看不懂古文版三国来看电视剧,1,25,16777215,d74c6ce6
778.82900,原来是这个张屠夫,1,25,16777215,a5b9da55
931.14700,皇叔武力值巅峰，一人拦住两位五虎上将,1,25,16777215,7547de2
2033.30700,汉代之前刘姓不多见，刘氏壮大刘胜占了80%的功劳，现在姓刘的基本都是刘胜的后代,1,25,16777215,2c2931bc
2782.86000,怎么百姓不是跟着跑吗,1,25,16777215,a0d01596
